actual_price,predicted_price,confidence,direction,equity
175.87,179.89603,0.32309496,1,1029.5196404868555
179.81,179.18396,0.30991238,1,1029.5196404868555
180.6,180.40094,0.25482395,0,1029.5196404868555
179.65,179.97762,0.26036543,0,1029.5196404868555
180.8,180.96234,0.2721519,1,1029.5196404868555
181.86,181.501,0.27798778,0,1029.5196404868555
183.62,182.15714,0.2579087,0,1029.5196404868555
183.51,183.28677,0.27719042,0,1029.5196404868555
180.94,182.55443,0.31439573,0,1029.5196404868555
179.39,181.09706,0.27833343,0,1029.5196404868555
179.96,180.27565,0.26756495,0,1029.5196404868555
179.4,180.72801,0.24547735,0,1029.5196404868555
178.46,179.65741,0.26217768,0,1029.5196404868555
180.14,180.63751,0.28579652,1,1029.5196404868555
180.76,179.36336,0.3053995,0,1029.5196404868555
178.51,178.88844,0.27629158,0,1029.5196404868555
177.02,177.63249,0.37073308,0,1029.5196404868555
178.38,178.0977,0.3560232,1,1029.5196404868555
178.49,177.88725,0.3602109,0,1029.5196404868555
177.93,177.39684,0.38605288,0,1029.5196404868555
176.99,177.82057,0.3788843,0,1029.5196404868555
175.33,176.14067,0.45848894,0,1029.5196404868555
175.97,176.13354,0.4807865,1,1029.5196404868555
175.9,176.01968,0.49450105,1,1029.5196404868555
177.28,176.00487,0.5252051,1,1029.5196404868555
175.18,175.57127,0.49372053,0,1029.5196404868555
176.61,176.24875,0.4891231,1,1029.5196404868555
177.14,176.62193,0.5266634,0,1029.5196404868555
177.45,177.04964,0.54586315,1,1029.5196404868555
177.31,177.15645,0.5114331,0,1029.5196404868555
177.55,177.66426,0.54068685,0,1029.5196404868555
176.27,176.76254,0.50058305,0,1029.5196404868555
176.99,176.72632,0.48742527,0,1029.5196404868555
176.04,176.97327,0.51610374,0,1029.5196404868555
176.69,177.7531,0.49950182,1,1029.5196404868555
177.39,176.24281,0.507229,0,1029.5196404868555
176.59,177.47868,0.46273515,0,1029.5196404868555
177.34,175.61166,0.50477326,0,1029.5196404868555
177.47,177.59628,0.45322588,0,1029.5196404868555
175.01,178.89484,0.43856272,1,1029.5196404868555
177.4,176.62045,0.4752949,1,1029.5196404868555
177.54,177.05403,0.47949702,0,1029.5196404868555
176.32,178.27446,0.49569753,1,1029.5196404868555
176.82,173.8032,0.75934494,1,1029.5196404868555
177.04,177.48169,0.4878509,1,1029.5196404868555
177.43,178.81172,0.44245362,1,1029.5196404868555
175.89,178.01086,0.42938027,0,1029.5196404868555
176.41,174.75674,0.57942414,1,1029.5196404868555
176.96,176.77173,0.46642354,0,1029.5196404868555
177.66,178.48079,0.4827382,1,1029.5196404868555
177.87,180.78477,0.46687022,1,1029.5196404868555
177.54,179.38089,0.40284252,1,1029.5196404868555
177.98,180.51672,0.40915546,1,1029.5196404868555
177.58,180.297,0.42647585,1,1029.5196404868555
177.8,180.79556,0.46178484,1,1029.5196404868555
177.33,180.33354,0.48723957,1,1029.5196404868555
177.94,180.91246,0.5296806,1,1029.5196404868555
180.7,181.71921,0.45127895,1,1029.5196404868555
179.77,182.39061,0.35848632,1,1029.5196404868555
